policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
heuristic,1.5000000000000007,29.845152484841837,1.7594009256533836,0.23084802857380185,-0.11063883542419967,0.1919945869951107,0.01093792086074019,-0.258661337709452,-0.17628691651404266,0.30554394560385095,-0.6904681060032963,6.516162369316803,0.5077423757579081,-2.01900829505657,-0.0,-0.1205673028718668,0.0,0.0,0.0
heuristic,1.5500000000000007,30.824327849348503,1.9639413934276,0.20211590093901144,-0.15541557398979203,0.2124389962008391,0.012799639133007381,-0.2909966553472094,-0.21810300798162133,0.23994251638357264,-0.6560142922027831,5.59668480670483,0.45878360753257486,-2.511871701264332,-0.0,-0.14442184460033392,0.0,0.0,0.0
heuristic,1.6000000000000008,31.809060982016465,2.139848620805317,0.15993991626282505,-0.1913211838593703,0.22141229435618381,0.014162599746722605,-0.2984218308025883,-0.24158903767677992,0.1818158154132468,-0.5812670097032585,4.777630123027209,0.40954695089917675,-2.969914746117683,-0.0,-0.16735633997697258,0.0,0.0,0.0
heuristic,1.6500000000000008,32.79992000338761,2.2766539002741952,0.10627993225245805,-0.21187378376205682,0.21570591557630153,0.014760819623745588,-0.28036356636421417,-0.24064742362581795,0.13457424944889684,-0.47241565964349946,4.033550537708799,0.36000399983061937,-3.3409348098742373,-0.0,-0.18724043242923505,0.0,0.0,0.0
heuristic,1.7000000000000008,33.7960378239526,2.366234175496919,0.04506867993616476,-0.21249086492192804,0.19348551939436434,0.014380394371753435,-0.23881333272325692,-0.21335477854574772,0.10054970346068609,-0.3402454598821075,3.3429641151192193,0.31019810880236987,-3.5824118730332977,-0.0,-0.2022527089861649,0.0,0.0,0.0
heuristic,1.7500000000000009,34.79534883049448,2.4040496118808115,-0.01817799823346901,-0.1915678091223959,0.22271005329984364,0.012899034626290957,-0.17767152735466382,-0.16227553100305095,0.0807889539264281,-0.19760749534257993,2.692835870529154,0.2602325584752759,-3.6716841264077886,-0.0,-0.21123723680591755,0.0,0.0,0.0
heuristic,1.800000000000001,35.795259076284616,2.3900233874365346,-0.07714792496832498,-0.1505957950859603,0.2607486514432189,0.014847336886656242,-0.10200610572964534,-0.09323497543495045,0.07506094898286965,-0.057280049435584485,2.08153426255809,0.21023704618576922,-3.611002099412886,-0.0,-0.2138780620241174,0.0,0.0,0.0
heuristic,1.850000000000001,36.79351685895826,2.328892286994223,-0.12566501899327986,-0.09399959794799341,0.28973967471845735,0.017383243429547928,-0.01753144747822665,-0.014764921954839777,0.07923671816813481,0.0417576918526516,1.5193222793550438,0.16032415705208686,-3.4238621043677866,-0.0,-0.21195125529244668,0.0,0.0,0.0
heuristic,1.900000000000001,37.78895560372224,2.2298712889068186,-0.15860849975746744,-0.02760286637885989,0.3058678547773376,0.019315978314563824,0.07004131043969322,0.06535255781792702,0.09243414336253077,0.13197425194395956,1.0260728482468613,0.11055221981388783,-3.1478502446311545,-0.0,-0.20591894603352584,0.0,0.0,0.0
heuristic,1.950000000000001,38.78183829891817,2.1059038746225416,-0.17249498350312592,0.045678661132386,0.3134216184783026,0.020391190318489173,0.15500341066547982,0.14827279964813025,0.05,-0.42434143362530763,0.6272885139284909,0.06090808505409164,-2.8899846617594704,-0.013217400516818124,-0.225625,0.0,0.0,0.0
